     #Energy     UP_Fe_s     DW_Fe_s     UP_Fe_p     DW_Fe_p     UP_Fe_d     DW_Fe_d     UP_Cr_s     DW_Cr_s     UP_Cr_p     DW_Cr_p     UP_Cr_d     DW_Cr_d     UP_Pb_s     DW_Pb_s     UP_Pb_p     DW_Pb_p     UP_Pb_d     DW_Pb_d
   -46.70453     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -46.53453     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -46.36353     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -46.19253     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -46.02253     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.85153     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.68053     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.51053     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.33953     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.16953     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.99853     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.82753     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.65753     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00190     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.48653    -0.00000     0.00010    -0.00000     0.00018    -0.00000     0.00013    -0.00000     0.00001    -0.00000     0.69031    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.31653    -0.00000    -0.00283    -0.00000    -0.00501    -0.00000    -0.00364    -0.00000    -0.00018    -0.00000   -19.17107    -0.00000    -0.00009    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -44.14553    -0.00000    -0.00977    -0.00000    -0.01731    -0.00000    -0.01218    -0.00000    -0.00034    -0.00002   -50.67505    -0.00000    -0.00078    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -43.97453    -0.00002    -0.01315    -0.00004    -0.02387    -0.00003    -0.01723    -0.00000    -0.00009    -0.15405   -49.96160    -0.00000    -0.00022    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
