     #Energy     UP_Fe_s     DW_Fe_s     UP_Fe_p     DW_Fe_p     UP_Fe_d     DW_Fe_d     UP_Cr_s     DW_Cr_s     UP_Cr_p     DW_Cr_p     UP_Cr_d     DW_Cr_d     UP_Pb_s     DW_Pb_s     UP_Pb_p     DW_Pb_p     UP_Pb_d     DW_Pb_d
   -46.64255     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -46.47255     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -46.30155     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -46.13155     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.96155     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.79155     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.62155     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.45155     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.28055     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.11055     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.94055     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.77055     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.60055     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000     0.00189     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.42955    -0.00000     0.00013    -0.00000     0.00022    -0.00000     0.00015    -0.00000     0.00000    -0.00000     0.63200    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.25955    -0.00000    -0.00327    -0.00000    -0.00559    -0.00000    -0.00395    -0.00000    -0.00004    -0.00000   -16.51056    -0.00000    -0.00002     0.00000    -0.00001    -0.00000    -0.00002     0.00000    -0.00002
   -44.08955    -0.00000    -0.01657    -0.00000    -0.02947    -0.00000    -0.02074    -0.00000    -0.00031    -0.00074   -85.49764    -0.00000    -0.00059    -0.00000    -0.00018    -0.00000    -0.00032    -0.00000    -0.00028
   -43.91955    -0.00011    -0.00767    -0.00019    -0.01435    -0.00013    -0.01071    -0.00000    -0.00024    -0.71523   -37.36926    -0.00000    -0.00068    -0.00000    -0.00002    -0.00000    -0.00005    -0.00000    -0.00005
   -43.74955     0.00301    -0.00491     0.00509    -0.00889     0.00337    -0.00632     0.00012    -0.00026    19.09921   -21.18330     0.00013    -0.00093     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -43.57855     0.00428    -0.00235     0.00803    -0.00447     0.00609    -0.00340     0.00015    -0.00054    35.29007   -12.83054     0.00020    -0.00144    -0.00000    -0.00000     0.00000    -0.00000    -0.00000    -0.00000
   -43.40855    -0.00020    -0.00031    -0.00036    -0.00060    -0.00026    -0.00046    -0.00003    -0.00019    -1.40310    -2.21062    -0.00009    -0.00042    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -43.23855     0.00139     0.00001     0.00244     0.00002     0.00170     0.00002     0.00065     0.00001     7.47766     0.08661     0.00230     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -43.06855     0.00227     0.00000     0.00390     0.00000     0.00266     0.00000     0.00062     0.00000     9.90760     0.00003     0.00167     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -42.89855     0.00454     0.00000     0.00775     0.00000     0.00527     0.00000     0.00012     0.00000    15.73782     0.00193     0.00028     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -42.72755     0.01954     0.00005     0.03533     0.00009     0.02613     0.00007     0.00103     0.00001    78.77319     0.21727     0.00235     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -42.55755     0.00703    -0.00162     0.01350    -0.00292     0.01039    -0.00213     0.00009    -0.00038    29.35293    -6.83064     0.00041    -0.00092     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -42.38755    -0.00027    -0.00159    -0.00051    -0.00293    -0.00039    -0.00223    -0.00000    -0.00108    -1.11536   -10.73992    -0.00001    -0.00284    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -42.21755    -0.00000    -0.00002    -0.00000    -0.00004    -0.00000    -0.00003    -0.00000    -0.00001    -0.00095    -0.16465    -0.00000    -0.00002    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -42.04755    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.01349    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -41.87755    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -41.70655    -0.00001     0.00000    -0.00001     0.00000    -0.00001     0.00000    -0.00000     0.00000    -0.03219     0.00166    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -41.53655     0.00018     0.00008     0.00031     0.00014     0.00023     0.00010    -0.00000     0.00000     0.72089     0.40980     0.00000     0.00000     0.00002     0.00000     0.00003     0.00000     0.00002     0.00000
   -41.36655     0.00229    -0.00198     0.00401    -0.00347     0.00287    -0.00247     0.00025    -0.00003    14.52087   -10.40137     0.00064    -0.00011     0.00014    -0.00000     0.00023    -0.00000     0.00019    -0.00000
   -41.19655     0.00376    -0.00032     0.00673    -0.00055     0.00501    -0.00039     0.00030    -0.00000    28.98423    -1.64037     0.00050    -0.00002     0.00012    -0.00000     0.00024    -0.00000     0.00024    -0.00000
   -41.02655     0.00092    -0.00117     0.00178    -0.00204     0.00143    -0.00148     0.00017    -0.00025     8.71304    -6.35737     0.00003    -0.00003     0.00001    -0.00000     0.00001    -0.00000     0.00001    -0.00000
   -40.85555    -0.00004    -0.00217    -0.00008    -0.00390    -0.00006    -0.00292    -0.00001    -0.00006    -0.38684   -14.77125    -0.00000    -0.00012    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -40.68555    -0.00000    -0.00175    -0.00000    -0.00314    -0.00000    -0.00233    -0.00000    -0.00016    -0.00064   -12.27573    -0.00000    -0.00009    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -40.51555    -0.00000    -0.00102    -0.00000    -0.00186    -0.00000    -0.00141    -0.00000    -0.00029    -0.00000    -7.66473    -0.00000    -0.00010    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -40.34555     0.00000     0.00002     0.00000     0.00004     0.00000     0.00003     0.00000     0.00001     0.00000     0.16845     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.17555     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00345     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.00455     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.83455     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.66455     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.49455     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.32455     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.15355     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.98355     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.81355     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.64355     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.47355     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.30255     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.13255     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.96255     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.79255     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.62255     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.45255     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.28155     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.11155     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.94155     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.77155     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.60155     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.43055     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.26055     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.09055     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.92055     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
