Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,x_left_edge,x_right_edge,Corrosion_Depth_Ratio
0,0,0,0,0,NaN
1,0,272,113,384,0.000
2,0,272,113,384,0.000
3,0,273,113,385,0.000
4,0,273,113,385,0.000
5,0,273,113,385,0.000
6,0,273,113,385,0.000
7,0,273,113,385,0.000
8,0,274,113,386,0.000
9,0,274,113,386,0.000
10,0,274,113,386,0.000
11,0,274,113,386,0.000
12,0,275,113,387,0.000
13,0,275,113,387,0.000
14,0,275,113,387,0.000
15,0,276,113,388,0.000
16,0,276,113,388,0.000
17,0,276,113,388,0.000
18,0,277,113,389,0.000
19,0,277,113,389,0.000
20,0,277,113,389,0.000
21,0,278,113,390,0.000
22,0,278,113,390,0.000
23,0,278,113,390,0.000
24,0,279,113,391,0.000
25,0,279,113,391,0.000
26,0,279,113,391,0.000
27,0,280,113,392,0.000
28,0,280,113,392,0.000
29,0,280,113,392,0.000
30,0,281,113,393,0.000
31,0,281,113,393,0.000
32,0,281,113,393,0.000
33,0,282,113,394,0.000
34,0,282,113,394,0.000
35,0,282,113,394,0.000
36,0,282,113,394,0.000
37,0,282,113,394,0.000
38,0,282,113,394,0.000
39,0,282,113,394,0.000
40,280,282,113,394,0.007
41,280,282,113,394,0.007
42,280,282,113,394,0.007
43,280,282,113,394,0.007
44,280,282,113,394,0.007
45,280,282,113,394,0.007
46,280,282,113,394,0.007
47,280,282,113,394,0.007
48,280,282,113,394,0.007
49,280,282,113,394,0.007
50,280,282,113,394,0.007
51,280,282,113,394,0.007
52,281,282,113,394,0.004
53,281,282,113,394,0.004
54,281,282,113,394,0.004
55,281,282,113,394,0.004
56,281,282,113,394,0.004
57,281,282,113,394,0.004
58,281,282,113,394,0.004
59,0,282,113,394,0.000
60,274,282,113,394,0.028
61,0,282,113,394,0.000
62,0,282,113,394,0.000
63,0,282,113,394,0.000
64,0,282,113,394,0.000
65,281,282,113,394,0.004
66,280,282,113,394,0.007
67,280,282,113,394,0.007
68,280,282,113,394,0.007
69,280,282,113,394,0.007
70,280,282,113,394,0.007
71,280,282,113,394,0.007
72,261,282,113,394,0.074
73,260,282,113,394,0.078
74,259,282,113,394,0.082
75,258,282,113,394,0.085
76,257,282,113,394,0.089
77,258,282,113,394,0.085
78,0,282,113,394,0.000
79,0,282,113,394,0.000
80,0,282,113,394,0.000
81,0,282,113,394,0.000
82,0,282,113,394,0.000
83,243,282,113,394,0.138
84,241,282,113,394,0.145
85,241,282,113,394,0.145
86,241,282,113,394,0.145
87,280,282,113,394,0.007
88,280,282,113,394,0.007
89,279,282,113,394,0.011
90,279,282,113,394,0.011
91,279,282,113,394,0.011
92,280,282,113,394,0.007
93,281,282,113,394,0.004
94,281,282,113,394,0.004
95,0,282,113,394,0.000
96,0,282,113,394,0.000
97,0,282,113,394,0.000
98,0,283,113,395,0.000
99,0,283,113,395,0.000
100,0,284,112,395,0.000
101,0,284,112,395,0.000
102,0,284,112,395,0.000
103,0,284,112,395,0.000
104,0,284,112,395,0.000
105,0,284,112,395,0.000
106,0,284,112,395,0.000
107,0,285,112,396,0.000
108,0,285,112,396,0.000
109,0,285,112,396,0.000
110,0,285,112,396,0.000
111,0,285,112,396,0.000
112,0,285,112,396,0.000
113,0,285,112,396,0.000
114,0,285,112,396,0.000
115,0,285,112,396,0.000
116,0,285,112,396,0.000
117,0,287,111,397,0.000
118,0,287,111,397,0.000
119,0,287,111,397,0.000
120,0,287,111,397,0.000
121,0,287,111,397,0.000
122,0,287,111,397,0.000
123,0,287,111,397,0.000
124,0,287,111,397,0.000
125,0,287,111,397,0.000
126,0,288,111,398,0.000
127,0,288,111,398,0.000
128,0,288,111,398,0.000
129,0,288,111,398,0.000
130,0,288,111,398,0.000
131,0,288,111,398,0.000
132,0,288,111,398,0.000
133,0,288,111,398,0.000
134,0,289,110,398,0.000
135,0,289,110,398,0.000
136,0,289,110,398,0.000
137,0,289,110,398,0.000
138,0,289,110,398,0.000
139,0,289,110,398,0.000
140,0,289,110,398,0.000
141,0,289,110,398,0.000
142,0,289,110,398,0.000
143,0,289,110,398,0.000
144,0,289,110,398,0.000
145,0,289,110,398,0.000
146,0,289,110,398,0.000
147,0,289,110,398,0.000
148,0,288,111,398,0.000
149,0,288,111,398,0.000
150,0,288,111,398,0.000
151,0,288,111,398,0.000
152,287,288,111,398,0.003
153,287,288,111,398,0.003
154,287,289,111,399,0.007
155,288,289,111,399,0.003
156,288,289,111,399,0.003
157,288,289,111,399,0.003
158,287,289,111,399,0.007
159,286,288,112,399,0.007
160,285,288,112,399,0.010
161,285,288,112,399,0.010
162,285,288,112,399,0.010
163,285,288,112,399,0.010
164,285,288,112,399,0.010
165,285,288,112,399,0.010
166,285,288,112,399,0.010
