     #Energy     UP_Fe_s     DW_Fe_s     UP_Fe_p     DW_Fe_p     UP_Fe_d     DW_Fe_d     UP_Cr_s     DW_Cr_s     UP_Cr_p     DW_Cr_p     UP_Cr_d     DW_Cr_d     UP_Pb_s     DW_Pb_s     UP_Pb_p     DW_Pb_p     UP_Pb_d     DW_Pb_d
   -46.56230     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -46.39230     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -46.22230     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -46.05130     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.88130     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.71030     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.54030     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.37030     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.19930     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -45.02930     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.85830     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.68830    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -44.51830    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00219    -0.00000     0.00000     0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -44.34730    -0.00000     0.00014    -0.00000     0.00024    -0.00000     0.00017    -0.00000     0.00000    -0.00000     0.77708    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -44.17730    -0.00000    -0.00376    -0.00000    -0.00651    -0.00000    -0.00459    -0.00000    -0.00014    -0.00049   -21.50978    -0.00000    -0.00009    -0.00000    -0.00001    -0.00000    -0.00002    -0.00000    -0.00002
   -44.00730    -0.00002    -0.02000    -0.00004    -0.03601    -0.00003    -0.02571    -0.00001    -0.00015    -0.30299   -82.83330    -0.00004    -0.00034    -0.00000    -0.00000    -0.00000    -0.00001    -0.00000    -0.00001
   -43.83630     0.00045    -0.00009     0.00078    -0.00031     0.00052    -0.00032     0.00036    -0.00001     6.38958    -0.86596     0.00097    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -43.66630     0.00847    -0.00473     0.01484    -0.00852     0.01034    -0.00613     0.00059    -0.00003    71.50476   -17.58317     0.00096    -0.00029     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -43.49530     0.00076    -0.00352     0.00176    -0.00653     0.00161    -0.00477     0.00003    -0.00080    10.23804   -17.37447     0.00007    -0.00255     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -43.32530    -0.00006    -0.00036    -0.00011    -0.00068    -0.00009    -0.00051    -0.00001    -0.00026    -0.50299    -2.96258    -0.00005    -0.00058    -0.00000    -0.00000    -0.00000    -0.00001    -0.00000    -0.00001
   -43.15530     0.00049    -0.00055     0.00089    -0.00103     0.00064    -0.00078     0.00017    -0.00034     2.90888    -4.60553     0.00112    -0.00078     0.00000    -0.00001     0.00000    -0.00002     0.00000    -0.00002
   -42.98430     0.00631    -0.00099     0.01083    -0.00185     0.00741    -0.00144     0.00102    -0.00089    23.30419    -9.23085     0.00202    -0.00213     0.00000    -0.00002     0.00001    -0.00003     0.00001    -0.00003
   -42.81430     0.00794    -0.00011     0.01397    -0.00022     0.01000    -0.00017     0.00005    -0.00012    27.53332    -1.04631     0.00016    -0.00033     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -42.64430     0.01954     0.00000     0.03641     0.00001     0.02751     0.00001     0.00108     0.00000    84.35547     0.03593     0.00309     0.00001     0.00003     0.00000     0.00005     0.00000     0.00004     0.00000
   -42.47330    -0.00010     0.00000    -0.00009     0.00000     0.00002     0.00000     0.00032     0.00000     1.90229     0.00000     0.00089     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -42.30330    -0.00002     0.00000    -0.00004     0.00000    -0.00003     0.00000    -0.00001     0.00000    -0.14881     0.00000    -0.00003     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -42.13230    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00003     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -41.96230    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -41.79230    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00006    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -41.62130    -0.00000     0.00003    -0.00000     0.00006    -0.00000     0.00004    -0.00000     0.00000    -0.00000     0.17975    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -41.45130    -0.00000    -0.00101    -0.00000    -0.00176    -0.00000    -0.00126    -0.00000    -0.00002    -0.00215    -5.29954    -0.00000    -0.00006    -0.00000     0.00000    -0.00000    -0.00000    -0.00000     0.00000
   -41.28030    -0.00005    -0.00126    -0.00010    -0.00220    -0.00007    -0.00157    -0.00000    -0.00000    -0.38750    -6.44599    -0.00001    -0.00003    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -41.11030     0.00150    -0.00078     0.00268    -0.00138     0.00198    -0.00101     0.00008    -0.00053    10.38011    -8.16387     0.00016    -0.00101     0.00002    -0.00000     0.00003    -0.00000     0.00003    -0.00000
   -40.94030     0.00091    -0.00236     0.00163    -0.00415     0.00121    -0.00300     0.00022    -0.00029     7.48005   -16.08488     0.00007    -0.00048     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000
   -40.76930     0.00000    -0.00310     0.00000    -0.00554     0.00000    -0.00410     0.00000    -0.00030     0.02516   -25.72845    -0.00000    -0.00037    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -40.59930    -0.00000    -0.00231    -0.00000    -0.00420    -0.00000    -0.00317    -0.00000    -0.00056    -0.00683   -20.59373    -0.00000    -0.00035    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -40.42930    -0.00000    -0.00054    -0.00000    -0.00098    -0.00000    -0.00073    -0.00000    -0.00027    -0.00000    -5.54429    -0.00000    -0.00008    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -40.25830    -0.00000     0.00002    -0.00000     0.00004    -0.00000     0.00003    -0.00000     0.00001    -0.00000     0.22224    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
