Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage, Energy level
82,Pb,Lead,24.23,59.26,15000
26,Fe,Iron,40.09,26.43,15000
24,Cr,Chromium,9.11,5.59,15000
28,Ni,Nickel,5.93,4.11,15000
8,O,Oxygen,15.19,2.87,15000
13,Al,Aluminium,5.45,1.74,15000
