      #Energy        TDOS-UP        TDOS-DOWN
     -46.64255       0.00000       0.00000
     -46.47255       0.00000       0.00000
     -46.30155       0.00000       0.00000
     -46.13155       0.00000       0.00000
     -45.96155       0.00000       0.00000
     -45.79155       0.00000       0.00000
     -45.62155       0.00000       0.00000
     -45.45155       0.00000       0.00000
     -45.28055       0.00000       0.00000
     -45.11055       0.00000       0.00000
     -44.94055       0.00000       0.00000
     -44.77055       0.00000       0.00000
     -44.60055      -0.00000       0.00016
     -44.42955      -0.00000       0.05452
     -44.25955      -0.00000      -1.30727
     -44.08955      -0.00006     -10.05510
     -43.91955      -0.06141     -20.59250
     -43.74955       1.51369     -25.61569
     -43.57855       6.17183     -28.53447
     -43.40855       9.07333     -29.82546
     -43.23855       9.59633     -30.00787
     -43.06855      11.09052     -30.00043
     -42.89855      13.29195     -30.00026
     -42.72755      21.39901     -29.98147
     -42.55755      30.67358     -30.54839
     -42.38755      33.09592     -32.05381
     -42.21755      33.00019     -32.98782
     -42.04755      33.00011     -33.00078
     -41.87755      33.00011     -32.99962
     -41.70655      32.99735     -32.99948
     -41.53655      33.05639     -32.96422
     -41.36655      34.36315     -33.82090
     -41.19655      38.09119     -34.85328
     -41.02655      41.32073     -35.53856
     -40.85555      42.03405     -37.34862
     -40.68555      42.00085     -39.66578
     -40.51555      42.00080     -41.37407
     -40.34555      42.00080     -42.01616
     -40.17555      42.00080     -42.00144
     -40.00455      42.00080     -42.00115
     -39.83455      42.00080     -42.00115
     -39.66455      42.00080     -42.00115
     -39.49455      42.00080     -42.00115
     -39.32455      42.00080     -42.00115
     -39.15355      42.00080     -42.00115
     -38.98355      42.00080     -42.00115
     -38.81355      42.00080     -42.00115
     -38.64355      42.00080     -42.00115
     -38.47355      42.00080     -42.00115
     -38.30255      42.00080     -42.00115
     -38.13255      42.00080     -42.00115
     -37.96255      42.00080     -42.00115
     -37.79255      42.00080     -42.00115
     -37.62255      42.00080     -42.00115
     -37.45255      42.00080     -42.00115
     -37.28155      42.00080     -42.00115
     -37.11155      42.00080     -42.00115
     -36.94155      42.00080     -42.00115
     -36.77155      42.00080     -42.00115
     -36.60155      42.00080     -42.00115
     -36.43055      42.00080     -42.00115
     -36.26055      42.00080     -42.00115
     -36.09055      42.00080     -42.00115
     -35.92055      42.00080     -42.00115
     -35.75055      42.00080     -42.00115
     -35.57955      42.00080     -42.00115
     -35.40955      42.00080     -42.00115
     -35.23955      42.00080     -42.00115
     -35.06955      42.00080     -42.00115
     -34.89955      42.00080     -42.00115
     -34.72855      42.00080     -42.00115
     -34.55855      42.00080     -42.00115
     -34.38855      42.00080     -42.00115
     -34.21855      42.00080     -42.00115
     -34.04855      42.00080     -42.00115
     -33.87855      42.00080     -42.00115
     -33.70755      42.00080     -42.00115
     -33.53755      42.00080     -42.00115
     -33.36755      42.00080     -42.00115
     -33.19755      42.00080     -42.00115
     -33.02755      42.00080     -42.00115
     -32.85655      42.00080     -42.00115
     -32.68655      42.00080     -42.00115
     -32.51655      42.00080     -42.00115
     -32.34655      42.00080     -42.00115
     -32.17655      42.00080     -42.00115
     -32.00555      42.00080     -42.00115
     -31.83555      42.00080     -42.00115
     -31.66555      42.00080     -42.00115
     -31.49555      42.00080     -42.00115
     -31.32555      42.00080     -42.00115
     -31.15455      42.00080     -42.00115
     -30.98455      42.00080     -42.00115
     -30.81455      42.00080     -42.00115
     -30.64455      42.00080     -42.00115
     -30.47455      42.00080     -42.00115
     -30.30455      42.00080     -42.00115
     -30.13355      42.00080     -42.00115
     -29.96355      42.00080     -42.00115
     -29.79355      42.00080     -42.00115
     -29.62355      42.00080     -42.00115
     -29.45355      42.00080     -42.00115
     -29.28255      42.00080     -42.00115
     -29.11255      42.00080     -42.00115
     -28.94255      42.00080     -42.00115
     -28.77255      42.00080     -42.00115
     -28.60255      42.00080     -42.00115
     -28.43155      42.00080     -42.00115
     -28.26155      42.00080     -42.00115
     -28.09155      42.00080     -42.00115
     -27.92155      42.00080     -42.00115
     -27.75155      42.00080     -42.00115
     -27.58055      42.00080     -42.00115
     -27.41055      42.00080     -42.00115
     -27.24055      42.00080     -42.00115
     -27.07055      42.00080     -42.00115
     -26.90055      42.00080     -42.00115
     -26.72955      42.00080     -42.00115
     -26.55955      42.00080     -42.00115
     -26.38955      42.00080     -42.00115
     -26.21955      42.00080     -42.00115
     -26.04955      42.00080     -42.00115
     -25.87955      42.00080     -42.00115
     -25.70855      42.00080     -42.00115
     -25.53855      42.00080     -42.00115
     -25.36855      42.00080     -42.00115
     -25.19855      42.00080     -42.00115
     -25.02855      42.00080     -42.00115
     -24.85755      42.00080     -42.00115
     -24.68755      42.00080     -42.00115
     -24.51755      42.00080     -42.00115
     -24.34755      42.00080     -42.00115
     -24.17755      42.00080     -42.00115
     -24.00655      42.00080     -42.00115
     -23.83655      42.00080     -42.00115
     -23.66655      42.00080     -42.00115
     -23.49655      42.00080     -42.00115
     -23.32655      42.00080     -42.00115
     -23.15555      42.00080     -42.00115
     -22.98555      42.00080     -42.00115
     -22.81555      42.00080     -42.00115
     -22.64555      42.00080     -42.00115
     -22.47555      42.00080     -42.00115
     -22.30555      42.00080     -42.00115
     -22.13455      42.00080     -42.00115
     -21.96455      42.00080     -42.00115
     -21.79455      42.00080     -42.00115
     -21.62455      42.00080     -42.00115
     -21.45455      42.00080     -42.00115
     -21.28355      42.00080     -42.00115
     -21.11355      42.00080     -42.00115
     -20.94355      42.00080     -42.00115
     -20.77355      42.00080     -42.00115
     -20.60355      42.00080     -42.00115
     -20.43255      42.00080     -42.00115
     -20.26255      42.00080     -42.00115
     -20.09255      42.00080     -42.00115
     -19.92255      42.00080     -42.00115
     -19.75255      42.00080     -42.00115
     -19.58155      42.00080     -42.00115
     -19.41155      42.00080     -42.00115
     -19.24155      42.00080     -42.00115
     -19.07155      42.00080     -42.00115
     -18.90155      42.00080     -42.00115
     -18.73055      42.00080     -42.00115
     -18.56055      42.00080     -42.00115
     -18.39055      42.00080     -42.00115
     -18.22055      42.00080     -42.00115
     -18.05055      42.00080     -42.00115
     -17.88055      42.00080     -42.00115
     -17.70955      42.00080     -42.00115
     -17.53955      42.00080     -42.00115
     -17.36955      42.00080     -42.00115
     -17.19955      42.00080     -42.00115
     -17.02955      42.00080     -42.00115
     -16.85855      42.00080     -42.00115
     -16.68855      42.00079     -42.00114
     -16.51855      41.98248     -41.98486
     -16.34855      42.51092     -42.45133
     -16.17855      45.09229     -45.01126
     -16.00755      47.06406     -47.04583
     -15.83755      47.00062     -47.00221
     -15.66755      47.00004     -47.00119
     -15.49755      47.00004     -47.00119
     -15.32755      47.00004     -47.00119
     -15.15655      47.00004     -47.00119
     -14.98655      47.00004     -47.00119
     -14.81655      47.00004     -47.00119
     -14.64655      47.00004     -47.00119
     -14.47655      47.00004     -47.00119
     -14.30655      47.00004     -47.00119
     -14.13555      47.00004     -47.00119
     -13.96555      47.00004     -47.00119
     -13.79555      47.00004     -47.00119
     -13.62555      47.00004     -47.00119
     -13.45555      47.00004     -47.00119
     -13.28455      47.00004     -47.00119
     -13.11455      47.00004     -47.00119
     -12.94455      47.00004     -47.00119
     -12.77455      47.00004     -47.00119
     -12.60455      47.00004     -47.00119
     -12.43355      47.00004     -47.00119
