====== H (10) into Fe-20Cr+Pb-Bi                =======
        SRIM-2008.04
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Fe-20Cr
Layer Width =     3.E+05 A ;
  Layer # 1- Density = 8.454E22 atoms/cm3 = 7.732 g/cm3
  Layer # 1- Fe = 80   Atomic Percent = 81.1 Mass Percent
  Layer # 1- Cr = 20   Atomic Percent = 18.8 Mass Percent
Layer  2 : Pb-Bi
Layer Width =     3.E+05 A ;
  Layer # 2- Density = 3.059E22 atoms/cm3 = 10.57 g/cm3
  Layer # 2- Pb = 50   Atomic Percent = 49.7 Mass Percent
  Layer # 2- Bi = 50   Atomic Percent = 50.2 Mass Percent
====================================================================
 Total Ions calculated =67617.00
 Total Target Vacancies     = 26 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
550001.E-02  1314.89E-09  3157.22E-09  
110000.E-01  4912.70E-09  1270.67E-08  
165000.E-01  3745.70E-09  5293.22E-09  
220000.E-01  4544.31E-09  1365.53E-08  
275000.E-01  5017.57E-09  1004.08E-08  
330000.E-01  5036.39E-09  1193.79E-08  
385000.E-01  5047.14E-09  1044.24E-08  
440000.E-01  5146.63E-09  1306.00E-08  
495000.E-01  5146.63E-09  9741.89E-09  
550000.E-01  5375.19E-09  1038.90E-08  
605000.E-01  5426.28E-09  1276.59E-08  
660000.E-01  5434.35E-09  1199.66E-08  
715000.E-01  5364.44E-09  1407.33E-08  
770000.E-01  5732.82E-09  8926.01E-09  
825000.E-01  5676.36E-09  1178.94E-08  
880000.E-01  5662.91E-09  9456.16E-09  
935000.E-01  5703.25E-09  9906.86E-09  
990000.E-01  5886.09E-09  9369.28E-09  
104500.E+00  5974.83E-09  1002.58E-08  
110000.E+00  6109.28E-09  1079.35E-08  
115500.E+00  6077.01E-09  1656.29E-08  
121000.E+00  6181.88E-09  1468.62E-08  
126500.E+00  6195.32E-09  1239.68E-08  
132000.E+00  6289.44E-09  1613.06E-08  
137500.E+00  6367.41E-09  1646.66E-08  
143000.E+00  6410.44E-09  1439.11E-08  
148500.E+00  6762.69E-09  1312.02E-08  
154000.E+00  6902.51E-09  1393.20E-08  
159500.E+00  6805.71E-09  1593.04E-08  
165000.E+00  7085.36E-09  2019.09E-08  
170500.E+00  7176.79E-09  1520.10E-08  
176000.E+00  7281.65E-09  1926.11E-08  
181500.E+00  7434.92E-09  1434.51E-08  
187000.E+00  7453.75E-09  1348.76E-08  
192500.E+00  7730.71E-09  1326.36E-08  
198000.E+00  7792.55E-09  1351.87E-08  
203500.E+00  7859.78E-09  1501.93E-08  
209000.E+00  8701.42E-09  1879.61E-08  
214500.E+00  8281.94E-09  1760.06E-08  
220000.E+00  8768.64E-09  1852.88E-08  
225500.E+00  9029.47E-09  2002.52E-08  
231000.E+00  9518.85E-09  2113.32E-08  
236500.E+00  9637.17E-09  1744.09E-08  
242000.E+00  9688.26E-09  1990.67E-08  
247500.E+00  1078.53E-08  2687.47E-08  
253000.E+00  1162.43E-08  3015.30E-08  
258500.E+00  1104.08E-08  2437.64E-08  
264000.E+00  1708.28E-08  3186.82E-08  
269500.E+00  1741.36E-08  3428.45E-08  
275000.E+00  1759.91E-08  3329.42E-08  
280500.E+00  1841.66E-08  3531.60E-08  
286000.E+00  1918.29E-08  3928.59E-08  
291500.E+00  1986.86E-08  3850.79E-08  
297000.E+00  2055.16E-08  4223.56E-08  
302500.E+00  2077.75E-08  4060.33E-08  
308000.E+00  2151.15E-08  4320.06E-08  
313500.E+00  2248.49E-08  4366.07E-08  
319000.E+00  2377.56E-08  3970.45E-08  
324500.E+00  2488.35E-08  4229.30E-08  
330000.E+00  2620.91E-08  4829.92E-08  
335500.E+00  2717.71E-08  4936.66E-08  
341000.E+00  2838.18E-08  4885.10E-08  
346500.E+00  3048.99E-08  5200.72E-08  
352000.E+00  3254.16E-08  5450.83E-08  
357500.E+00  3533.81E-08  6196.69E-08  
363000.E+00  3858.90E-08  6527.21E-08  
368500.E+00  4281.60E-08  6920.62E-08  
374000.E+00  4807.02E-08  7370.65E-08  
379500.E+00  5570.95E-08  8115.13E-08  
385000.E+00  6702.73E-08  8811.49E-08  
390500.E+00  8234.88E-08  1045.27E-07  
