Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage, Energy level
26,Fe,Iron,41.29,34.99,15000
82,Pb,Lead,10.98,34.52,15000
28,Ni,Nickel,13.14,11.71,15000
24,Cr,Chromium,12.43,9.81,15000
8,O,Oxygen,14.68,3.56,15000
13,Al,Aluminium,6.63,2.71,15000
83,Bi,Bismuth,0.85,2.70,15000
