Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage, Energy level
82,Pb,Lead,16.77,46.25,15000
26,Fe,Iron,36.60,27.21,15000
28,Ni,Nickel,12.18,9.51,15000
24,Cr,Chromium,11.41,7.90,15000
83,Bi,Bismuth,1.30,3.62,15000
8,O,Oxygen,15.71,3.34,15000
13,Al,Aluminium,6.03,2.17,15000
