====== H (3000) into Fe-Ni-Cr-Al-Nb+Pb-4Bi      =======
        SRIM-2008.04
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Fe-Ni-Cr-Al-Nb
Layer Width =     3.E+05 A ;
  Layer # 1- Density = 8.424E22 atoms/cm3 = 7.365 g/cm3
  Layer # 1- Fe = 47.2 Atomic Percent = 50.1 Mass Percent
  Layer # 1- Cr = 15.9 Atomic Percent = 15.7 Mass Percent
  Layer # 1- Al = 7.75 Atomic Percent = 3.97 Mass Percent
  Layer # 1- Ni = 22.2 Atomic Percent = 24.7 Mass Percent
  Layer # 1- Cu = 2.47 Atomic Percent = 2.98 Mass Percent
  Layer # 1- Mg = 4.09 Atomic Percent = 1.88 Mass Percent
  Layer # 1- Nb = .337 Atomic Percent = .594 Mass Percent
Layer  2 : Pb-4Bi
Layer Width =     3.E+05 A ;
  Layer # 2- Density = 3.278E22 atoms/cm3 = 11.28 g/cm3
  Layer # 2- Pb = 96.0 Atomic Percent = 95.9 Mass Percent
  Layer # 2- Bi = 3.96 Atomic Percent = 4.00 Mass Percent
====================================================================
 Total Ions calculated =99724.00
 Total Target Vacancies     = 27 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
550001.E-02  1276.25E-09  3156.84E-09  
110000.E-01  4300.96E-09  1050.76E-08  
165000.E-01  4297.32E-09  9944.69E-09  
220000.E-01  4390.30E-09  8374.75E-09  
275000.E-01  5146.93E-09  9243.41E-09  
330000.E-01  5008.37E-09  8672.19E-09  
385000.E-01  5081.30E-09  1164.18E-08  
440000.E-01  5026.60E-09  1107.18E-08  
495000.E-01  5296.44E-09  1144.86E-08  
550000.E-01  5197.98E-09  1211.32E-08  
605000.E-01  5287.32E-09  1474.98E-08  
660000.E-01  5382.13E-09  1468.65E-08  
715000.E-01  5338.37E-09  1331.64E-08  
770000.E-01  5440.47E-09  1063.93E-08  
825000.E-01  5548.04E-09  1091.12E-08  
880000.E-01  5668.37E-09  1028.01E-08  
935000.E-01  5819.70E-09  1724.86E-08  
990000.E-01  5888.98E-09  1218.14E-08  
104500.E+00  5834.28E-09  1299.56E-08  
110000.E+00  5765.00E-09  1642.89E-08  
115500.E+00  5991.08E-09  1343.53E-08  
121000.E+00  6000.20E-09  1141.60E-08  
126500.E+00  6018.43E-09  1220.34E-08  
132000.E+00  6404.95E-09  1106.72E-08  
137500.E+00  6487.00E-09  1588.50E-08  
143000.E+00  6570.86E-09  1493.76E-08  
148500.E+00  6321.08E-09  1426.70E-08  
154000.E+00  6682.08E-09  1637.00E-08  
159500.E+00  6620.09E-09  1304.73E-08  
165000.E+00  6873.52E-09  1239.52E-08  
170500.E+00  6992.03E-09  1554.05E-08  
176000.E+00  7057.66E-09  1634.33E-08  
181500.E+00  7192.58E-09  1555.36E-08  
187000.E+00  7513.46E-09  1687.48E-08  
192500.E+00  7456.94E-09  1876.91E-08  
198000.E+00  7679.38E-09  1628.98E-08  
203500.E+00  7639.27E-09  1644.69E-08  
209000.E+00  8062.25E-09  1533.10E-08  
214500.E+00  8357.61E-09  1550.10E-08  
220000.E+00  8436.01E-09  2426.11E-08  
225500.E+00  8397.72E-09  1805.22E-08  
231000.E+00  9181.71E-09  1972.67E-08  
236500.E+00  9280.16E-09  1742.22E-08  
242000.E+00  9106.95E-09  1871.49E-08  
247500.E+00  1070.41E-08  1896.07E-08  
253000.E+00  1112.53E-08  2152.55E-08  
258500.E+00  1173.60E-08  2204.89E-08  
264000.E+00  1709.45E-08  3421.75E-08  
269500.E+00  1732.24E-08  3375.36E-08  
275000.E+00  1800.06E-08  3354.52E-08  
280500.E+00  1828.32E-08  3619.21E-08  
286000.E+00  1900.52E-08  3588.21E-08  
291500.E+00  1932.79E-08  3453.72E-08  
297000.E+00  2020.30E-08  3714.96E-08  
302500.E+00  2085.94E-08  3888.41E-08  
308000.E+00  2209.92E-08  4279.64E-08  
313500.E+00  2225.05E-08  3953.14E-08  
319000.E+00  2360.33E-08  4025.95E-08  
324500.E+00  2413.39E-08  4091.81E-08  
330000.E+00  2558.52E-08  4649.48E-08  
335500.E+00  2696.17E-08  4708.35E-08  
341000.E+00  2812.13E-08  4792.44E-08  
346500.E+00  2989.89E-08  5186.71E-08  
