      #Energy        TDOS-UP        TDOS-DOWN
     -46.61342       0.00000       0.00000
     -46.44342       0.00000       0.00000
     -46.27242       0.00000       0.00000
     -46.10142       0.00000       0.00000
     -45.93142       0.00000       0.00000
     -45.76042       0.00000       0.00000
     -45.59042       0.00000       0.00000
     -45.41942       0.00000       0.00000
     -45.24942       0.00000       0.00000
     -45.07842       0.00000       0.00000
     -44.90742       0.00000       0.00000
     -44.73742      -0.00000       0.00000
     -44.56642      -0.00000       0.00023
     -44.39642      -0.00000       0.07275
     -44.22542      -0.00000      -1.70656
     -44.05442      -0.00044     -10.94582
     -43.88442      -0.10253     -19.71855
     -43.71342       2.77491     -22.60555
     -43.54342       8.99839     -25.55396
     -43.37242      12.10159     -27.00088
     -43.20242      12.65417     -27.00003
     -43.03142      14.19831     -26.99873
     -42.86042      17.75576     -26.98763
     -42.69042      26.67860     -27.23666
     -42.51942      34.51061     -28.67035
     -42.34942      36.06455     -29.92422
     -42.17842      36.00224     -30.00175
     -42.00842      36.00219     -29.99898
     -41.83742      36.00219     -29.99898
     -41.66642      36.00218     -29.99692
     -41.49642      35.99866     -30.04995
     -41.32542      36.06819     -31.07390
     -41.15542      38.08411     -32.13053
     -40.98442      41.04105     -32.90136
     -40.81442      42.02895     -34.87399
     -40.64342      42.00247     -37.21686
     -40.47242      42.00217     -38.73609
     -40.30242      42.00217     -40.51802
     -40.13142      42.00217     -41.91973
     -39.96142      42.00217     -42.00176
     -39.79042      42.00217     -41.99808
     -39.62042      42.00217     -41.99808
     -39.44942      42.00217     -41.99808
     -39.27842      42.00217     -41.99808
     -39.10842      42.00217     -41.99808
     -38.93742      42.00217     -41.99808
     -38.76742      42.00217     -41.99808
     -38.59642      42.00217     -41.99808
     -38.42542      42.00217     -41.99808
     -38.25542      42.00217     -41.99808
     -38.08442      42.00217     -41.99808
     -37.91442      42.00217     -41.99808
     -37.74342      42.00217     -41.99808
     -37.57342      42.00217     -41.99808
     -37.40242      42.00217     -41.99808
     -37.23142      42.00217     -41.99808
     -37.06142      42.00217     -41.99808
     -36.89042      42.00217     -41.99808
     -36.72042      42.00217     -41.99808
     -36.54942      42.00217     -41.99808
     -36.37942      42.00217     -41.99808
     -36.20842      42.00217     -41.99808
     -36.03742      42.00217     -41.99808
     -35.86742      42.00217     -41.99808
     -35.69642      42.00217     -41.99808
     -35.52642      42.00217     -41.99808
     -35.35542      42.00217     -41.99808
     -35.18542      42.00217     -41.99808
     -35.01442      42.00217     -41.99808
     -34.84342      42.00217     -41.99808
     -34.67342      42.00217     -41.99808
     -34.50242      42.00217     -41.99808
     -34.33242      42.00217     -41.99808
     -34.16142      42.00217     -41.99808
     -33.99142      42.00217     -41.99808
     -33.82042      42.00217     -41.99808
     -33.64942      42.00217     -41.99808
     -33.47942      42.00217     -41.99808
     -33.30842      42.00217     -41.99808
     -33.13842      42.00217     -41.99808
     -32.96742      42.00217     -41.99808
     -32.79642      42.00217     -41.99808
     -32.62642      42.00217     -41.99808
     -32.45542      42.00217     -41.99808
     -32.28542      42.00217     -41.99808
     -32.11442      42.00217     -41.99808
     -31.94442      42.00217     -41.99808
     -31.77342      42.00217     -41.99808
     -31.60242      42.00217     -41.99808
     -31.43242      42.00217     -41.99808
     -31.26142      42.00217     -41.99808
     -31.09142      42.00217     -41.99808
     -30.92042      42.00217     -41.99808
     -30.75042      42.00217     -41.99808
     -30.57942      42.00217     -41.99808
     -30.40842      42.00217     -41.99808
     -30.23842      42.00217     -41.99808
     -30.06742      42.00217     -41.99808
     -29.89742      42.00217     -41.99808
     -29.72642      42.00217     -41.99808
     -29.55642      42.00217     -41.99808
     -29.38542      42.00217     -41.99808
     -29.21442      42.00217     -41.99808
     -29.04442      42.00217     -41.99808
     -28.87342      42.00217     -41.99808
     -28.70342      42.00217     -41.99808
     -28.53242      42.00217     -41.99808
     -28.36142      42.00217     -41.99808
     -28.19142      42.00217     -41.99808
     -28.02042      42.00217     -41.99808
     -27.85042      42.00217     -41.99808
     -27.67942      42.00217     -41.99808
     -27.50942      42.00217     -41.99808
     -27.33842      42.00217     -41.99808
     -27.16742      42.00217     -41.99808
     -26.99742      42.00217     -41.99808
     -26.82642      42.00217     -41.99808
     -26.65642      42.00217     -41.99808
     -26.48542      42.00217     -41.99808
     -26.31542      42.00217     -41.99808
     -26.14442      42.00217     -41.99808
     -25.97342      42.00217     -41.99808
     -25.80342      42.00217     -41.99808
     -25.63242      42.00217     -41.99808
     -25.46242      42.00217     -41.99808
     -25.29142      42.00217     -41.99808
     -25.12142      42.00217     -41.99808
     -24.95042      42.00217     -41.99808
     -24.77942      42.00217     -41.99808
     -24.60942      42.00217     -41.99808
     -24.43842      42.00217     -41.99808
     -24.26842      42.00217     -41.99808
     -24.09742      42.00217     -41.99808
     -23.92742      42.00217     -41.99808
     -23.75642      42.00217     -41.99808
     -23.58542      42.00217     -41.99808
     -23.41542      42.00217     -41.99808
     -23.24442      42.00217     -41.99808
     -23.07442      42.00217     -41.99808
     -22.90342      42.00217     -41.99808
     -22.73242      42.00217     -41.99808
     -22.56242      42.00217     -41.99808
     -22.39142      42.00217     -41.99808
     -22.22142      42.00217     -41.99808
     -22.05042      42.00217     -41.99808
     -21.88042      42.00217     -41.99808
     -21.70942      42.00217     -41.99808
     -21.53842      42.00217     -41.99808
     -21.36842      42.00217     -41.99808
     -21.19742      42.00217     -41.99808
     -21.02742      42.00217     -41.99808
     -20.85642      42.00217     -41.99808
     -20.68642      42.00217     -41.99808
     -20.51542      42.00217     -41.99808
     -20.34442      42.00217     -41.99808
     -20.17442      42.00217     -41.99808
     -20.00342      42.00217     -41.99808
     -19.83342      42.00217     -41.99808
     -19.66242      42.00217     -41.99808
     -19.49242      42.00217     -41.99808
     -19.32142      42.00217     -41.99808
     -19.15042      42.00217     -41.99808
     -18.98042      42.00217     -41.99808
     -18.80942      42.00217     -41.99808
     -18.63942      42.00217     -41.99808
     -18.46842      42.00217     -41.99808
     -18.29742      42.00217     -41.99808
     -18.12742      42.00217     -41.99808
     -17.95642      42.00217     -41.99808
     -17.78642      42.00217     -41.99808
     -17.61542      42.00217     -41.99808
     -17.44542      42.00217     -41.99808
     -17.27442      42.00217     -41.99808
     -17.10342      42.00217     -41.99808
     -16.93342      42.00217     -41.99808
     -16.76242      42.00201     -41.99717
     -16.59242      41.93186     -41.93569
     -16.42142      43.66146     -44.17278
     -16.25142      46.25806     -46.74328
     -16.08042      47.02843     -47.00719
     -15.90942      47.00178     -46.99825
     -15.73942      47.00177     -46.99825
     -15.56842      47.00177     -46.99825
     -15.39842      47.00177     -46.99825
     -15.22742      47.00177     -46.99825
     -15.05742      47.00177     -46.99825
     -14.88642      47.00177     -46.99825
     -14.71542      47.00177     -46.99825
     -14.54542      47.00177     -46.99825
     -14.37442      47.00177     -46.99825
     -14.20442      47.00177     -46.99825
     -14.03342      47.00177     -46.99825
     -13.86342      47.00177     -46.99825
     -13.69242      47.00177     -46.99825
     -13.52142      47.00177     -46.99825
     -13.35142      47.00177     -46.99825
     -13.18042      47.00177     -46.99825
     -13.01042      47.00177     -46.99825
     -12.83942      47.00177     -46.99825
     -12.66842      47.00177     -46.99825
     -12.49842      47.00177     -46.99825
     -12.32742      47.00177     -46.99825
     -12.15742      47.00177     -46.99825
     -11.98642      47.00177     -46.99825
     -11.81642      47.00177     -46.99825
     -11.64542      47.00177     -46.99825
     -11.47442      47.00177     -46.99825
     -11.30442      47.00177     -46.99825
     -11.13342      47.00177     -46.99825
     -10.96342      47.00177     -46.99825
     -10.79242      47.00177     -46.99825
     -10.62242      47.00177     -46.99825
     -10.45142      47.00177     -46.99825
     -10.28042      47.00177     -46.99825
     -10.11042      47.00177     -46.99825
      -9.93942      47.00177     -46.99825
      -9.76942      47.00177     -46.99825
      -9.59842      47.00177     -46.99825
      -9.42842      47.00177     -46.99825
      -9.25742      47.00177     -46.99825
      -9.08642      47.00177     -46.99825
      -8.91642      47.00176     -46.99802
      -8.74542      46.99110     -46.98639
      -8.57542      47.26796     -47.46113
      -8.40442      47.78669     -47.97377
      -8.23442      48.00945     -47.99857
      -8.06342      48.06374     -48.01058
      -7.89242      48.30115     -48.14967
      -7.72242      48.52480     -48.41671
      -7.55142      48.75485     -48.60498
      -7.38142      49.13267     -48.90737
      -7.21042      49.32879     -49.23784
      -7.03942      49.59766     -49.35530
      -6.86942      50.23894     -49.68054
      -6.69842      50.83042     -50.36856
      -6.52842      51.39076     -50.89155
      -6.35742      51.92952     -51.43969
      -6.18742      52.36390     -51.99739
      -6.01642      53.18735     -52.31287
      -5.84542      54.03187     -53.07910
      -5.67542      54.84092     -53.90742
      -5.50442      55.83495     -54.56089
      -5.33442      57.04152     -55.32388
      -5.16342      58.48656     -56.10469
      -4.99342      60.52596     -57.37600
      -4.82242      63.46243     -58.67724
      -4.65142      67.41468     -59.90863
      -4.48142      72.89785     -61.11383
      -4.31042      79.02409     -62.54983
      -4.14042      86.87060     -64.75879
      -3.96942      96.09280     -67.60229
      -3.79942     104.12352     -71.06925
      -3.62842     112.43570     -74.62235
      -3.45742     123.84553     -78.17460
      -3.28742     136.93725     -82.43218
      -3.11642     148.97737     -87.65693
      -2.94642     160.44606     -93.09319
      -2.77542     172.01112     -98.84673
      -2.60442     183.61115    -104.73587
      -2.43442     195.37493    -111.09750
      -2.26342     206.72336    -119.00456
      -2.09342     216.37542    -127.52228
      -1.92242     224.61680    -136.00162
      -1.75242     233.00488    -144.66859
      -1.58142     242.55544    -153.96244
      -1.41042     254.29108    -164.53560
      -1.24042     268.80114    -175.83286
      -1.06942     284.14446    -186.88193
      -0.89942     297.41102    -196.75914
      -0.72842     308.06095    -204.75148
      -0.55842     316.98122    -211.43466
      -0.38742     324.67421    -217.29565
      -0.21642     331.76506    -222.22360
      -0.04642     337.94589    -227.35964
       0.12458     342.91050    -233.72128
       0.29458     347.76851    -241.59764
       0.46558     353.63292    -250.83177
       0.63558     360.06279    -260.91027
       0.80658     366.30673    -272.40113
       0.97758     372.42700    -284.54274
       1.14758     375.72287    -297.22593
       1.31858     376.01265    -311.77692
       1.48858     376.00016    -327.97142
       1.65958     376.00015    -343.99876
       1.82958     376.00015    -357.10839
       2.00058     376.00015    -366.33656
       2.17158     376.00015    -372.72293
       2.34158     376.00015    -375.70119
       2.51258     376.00015    -376.01645
       2.68258     376.00015    -376.00333
       2.85358     376.00015    -376.00332
       3.02458     376.00015    -376.00332
       3.19458     376.00015    -376.00332
       3.36558     376.00015    -376.00332
       3.53558     376.00015    -376.00332
       3.70658     376.00015    -376.00332
       3.87658     376.00015    -376.00332
       4.04758     376.00015    -376.00332
       4.21858     376.00015    -376.00332
       4.38858     376.00015    -376.00332
       4.55958     376.00015    -376.00332
