      #Energy        TDOS-UP        TDOS-DOWN
     -46.61342       0.00000       0.00000
     -46.44342       0.00000       0.00000
     -46.27242       0.00000       0.00000
     -46.10142       0.00000       0.00000
     -45.93142       0.00000       0.00000
     -45.76042       0.00000       0.00000
     -45.59042       0.00000       0.00000
     -45.41942       0.00000       0.00000
     -45.24942       0.00000       0.00000
     -45.07842       0.00000       0.00000
     -44.90742       0.00000       0.00000
     -44.73742      -0.00000       0.00000
     -44.56642      -0.00000       0.00272
     -44.39642      -0.00000       0.84760
     -44.22542      -0.00000     -21.71000
     -44.05442      -0.00511     -86.62000
     -43.88442      -1.19200     -16.24000
     -43.71342      34.93000     -17.61000
     -43.54342      38.04000     -16.96000
     -43.37242      -1.65500      -0.00515
     -43.20242       8.13400       0.01514
     -43.03142       9.97100       0.00007
     -42.86042      31.74000       0.13010
     -42.69042      72.88000      -3.05000
     -42.51942      18.95000     -13.76000
     -42.34942      -0.73000      -0.94150
     -42.17842      -0.00064       0.03244
     -42.00842      -0.00000       0.00000
     -41.83742      -0.00000       0.00000
     -41.66642      -0.00000       0.02413
     -41.49642      -0.04135      -0.64580
     -41.32542       0.85660     -11.36000
     -41.15542      22.78000      -1.02900
     -40.98442      11.89000      -8.00900
     -40.81442      -0.30690     -15.12000
     -40.64342      -0.00353     -12.35000
     -40.47242      -0.00000      -5.46300
     -40.30242      -0.00000     -15.43000
     -40.13142       0.00000      -1.00500
     -39.96142       0.00000       0.04314
     -39.79042       0.00000       0.00000
     -39.62042       0.00000       0.00000
     -39.44942       0.00000       0.00000
     -39.27842       0.00000       0.00000
     -39.10842       0.00000       0.00000
     -38.93742       0.00000       0.00000
     -38.76742       0.00000       0.00000
     -38.59642       0.00000       0.00000
     -38.42542       0.00000       0.00000
     -38.25542       0.00000       0.00000
     -38.08442       0.00000       0.00000
     -37.91442       0.00000       0.00000
     -37.74342       0.00000       0.00000
     -37.57342       0.00000       0.00000
     -37.40242       0.00000       0.00000
     -37.23142       0.00000       0.00000
     -37.06142       0.00000       0.00000
     -36.89042       0.00000       0.00000
     -36.72042       0.00000       0.00000
     -36.54942       0.00000       0.00000
     -36.37942       0.00000       0.00000
     -36.20842       0.00000       0.00000
     -36.03742       0.00000       0.00000
     -35.86742       0.00000       0.00000
     -35.69642       0.00000       0.00000
     -35.52642       0.00000       0.00000
     -35.35542       0.00000       0.00000
     -35.18542       0.00000       0.00000
     -35.01442       0.00000       0.00000
     -34.84342       0.00000       0.00000
     -34.67342       0.00000       0.00000
     -34.50242       0.00000       0.00000
     -34.33242       0.00000       0.00000
     -34.16142       0.00000       0.00000
     -33.99142       0.00000       0.00000
     -33.82042       0.00000       0.00000
     -33.64942       0.00000       0.00000
     -33.47942       0.00000       0.00000
     -33.30842       0.00000       0.00000
     -33.13842       0.00000       0.00000
     -32.96742       0.00000       0.00000
     -32.79642       0.00000       0.00000
     -32.62642       0.00000       0.00000
     -32.45542       0.00000       0.00000
     -32.28542       0.00000       0.00000
     -32.11442       0.00000       0.00000
     -31.94442       0.00000       0.00000
     -31.77342       0.00000       0.00000
     -31.60242       0.00000       0.00000
     -31.43242       0.00000       0.00000
     -31.26142       0.00000       0.00000
     -31.09142       0.00000       0.00000
     -30.92042       0.00000       0.00000
     -30.75042       0.00000       0.00000
     -30.57942       0.00000       0.00000
     -30.40842       0.00000       0.00000
     -30.23842       0.00000       0.00000
     -30.06742       0.00000       0.00000
     -29.89742       0.00000       0.00000
     -29.72642       0.00000       0.00000
     -29.55642       0.00000       0.00000
     -29.38542       0.00000       0.00000
     -29.21442       0.00000       0.00000
     -29.04442       0.00000       0.00000
     -28.87342       0.00000       0.00000
     -28.70342       0.00000       0.00000
     -28.53242       0.00000       0.00000
     -28.36142       0.00000       0.00000
     -28.19142       0.00000       0.00000
     -28.02042       0.00000       0.00000
     -27.85042       0.00000       0.00000
     -27.67942       0.00000       0.00000
     -27.50942       0.00000       0.00000
     -27.33842       0.00000       0.00000
     -27.16742       0.00000       0.00000
     -26.99742       0.00000       0.00000
     -26.82642       0.00000       0.00000
     -26.65642       0.00000       0.00000
     -26.48542       0.00000       0.00000
     -26.31542       0.00000       0.00000
     -26.14442       0.00000       0.00000
     -25.97342       0.00000       0.00000
     -25.80342       0.00000       0.00000
     -25.63242       0.00000       0.00000
     -25.46242       0.00000       0.00000
     -25.29142       0.00000       0.00000
     -25.12142       0.00000       0.00000
     -24.95042       0.00000       0.00000
     -24.77942       0.00000       0.00000
     -24.60942       0.00000       0.00000
     -24.43842       0.00000       0.00000
     -24.26842       0.00000       0.00000
     -24.09742       0.00000       0.00000
     -23.92742       0.00000       0.00000
     -23.75642       0.00000       0.00000
     -23.58542       0.00000       0.00000
     -23.41542       0.00000       0.00000
     -23.24442       0.00000       0.00000
     -23.07442       0.00000       0.00000
     -22.90342       0.00000       0.00000
     -22.73242       0.00000       0.00000
     -22.56242       0.00000       0.00000
     -22.39142       0.00000       0.00000
     -22.22142       0.00000       0.00000
     -22.05042       0.00000       0.00000
     -21.88042       0.00000       0.00000
     -21.70942       0.00000       0.00000
     -21.53842       0.00000       0.00000
     -21.36842       0.00000       0.00000
     -21.19742       0.00000       0.00000
     -21.02742       0.00000       0.00000
     -20.85642       0.00000       0.00000
     -20.68642       0.00000       0.00000
     -20.51542       0.00000       0.00000
     -20.34442       0.00000       0.00000
     -20.17442       0.00000       0.00000
     -20.00342       0.00000       0.00000
     -19.83342       0.00000       0.00000
     -19.66242       0.00000       0.00000
     -19.49242       0.00000       0.00000
     -19.32142       0.00000       0.00000
     -19.15042       0.00000       0.00000
     -18.98042       0.00000       0.00000
     -18.80942       0.00000       0.00000
     -18.63942       0.00000       0.00000
     -18.46842       0.00000       0.00000
     -18.29742       0.00000       0.00000
     -18.12742       0.00000       0.00000
     -17.95642       0.00000       0.00000
     -17.78642       0.00000       0.00000
     -17.61542       0.00000       0.00000
     -17.44542       0.00000       0.00000
     -17.27442      -0.00000       0.00000
     -17.10342      -0.00000       0.00000
     -16.93342      -0.00000       0.00000
     -16.76242      -0.00193       0.01065
     -16.59242      -0.82050       0.71020
     -16.42142      21.10000     -26.94000
     -16.25142       9.34500      -3.19900
     -16.08042      -0.31240       0.10470
     -15.90942      -0.00011       0.00001
     -15.73942      -0.00000       0.00000
     -15.56842       0.00000       0.00000
     -15.39842       0.00000       0.00000
     -15.22742       0.00000       0.00000
     -15.05742       0.00000       0.00000
     -14.88642       0.00000       0.00000
     -14.71542       0.00000       0.00000
     -14.54542       0.00000       0.00000
     -14.37442       0.00000       0.00000
     -14.20442       0.00000       0.00000
     -14.03342       0.00000       0.00000
     -13.86342       0.00000       0.00000
     -13.69242       0.00000       0.00000
     -13.52142       0.00000       0.00000
     -13.35142       0.00000       0.00000
     -13.18042       0.00000       0.00000
     -13.01042       0.00000       0.00000
     -12.83942       0.00000       0.00000
     -12.66842       0.00000       0.00000
     -12.49842       0.00000       0.00000
     -12.32742       0.00000       0.00000
     -12.15742       0.00000       0.00000
     -11.98642       0.00000       0.00000
     -11.81642       0.00000       0.00000
     -11.64542       0.00000       0.00000
     -11.47442       0.00000       0.00000
     -11.30442       0.00000       0.00000
     -11.13342       0.00000       0.00000
     -10.96342       0.00000       0.00000
     -10.79242       0.00000       0.00000
     -10.62242       0.00000       0.00000
     -10.45142       0.00000       0.00000
     -10.28042       0.00000       0.00000
     -10.11042       0.00000       0.00000
      -9.93942       0.00000       0.00000
      -9.76942       0.00000       0.00000
      -9.59842       0.00000       0.00000
      -9.42842      -0.00000       0.00000
      -9.25742      -0.00000       0.00000
      -9.08642      -0.00000       0.00000
      -8.91642      -0.00012       0.00270
      -8.74542      -0.12480       0.13370
      -8.57542       3.37100      -5.70000
      -8.40442       2.71100      -0.31070
      -8.23442      -0.09907       0.01994
      -8.06342       0.73560      -0.16080
      -7.89242       2.04800      -1.47000
      -7.72242       0.57430      -1.66100
      -7.55142       2.12300      -0.54650
      -7.38142       2.30700      -2.99900
      -7.21042      -0.00752      -0.87580
      -7.03942       3.16000      -0.50140
      -6.86942       4.35900      -3.31200
      -6.69842       2.57600      -4.75500
      -6.52842       3.99400      -1.37700
      -6.35742       2.32300      -5.05000
      -6.18742       2.77000      -1.48900
      -6.01642       6.88500      -2.21000
      -5.84542       3.01700      -6.77400
      -5.67542       6.46900      -2.93800
      -5.50442       5.18600      -4.72400
      -5.33442       8.96100      -4.22200
      -5.16342       7.98200      -4.93300
      -4.99342      15.93000      -9.97300
      -4.82242      18.50000      -5.28400
      -4.65142      27.84000      -9.15400
      -4.48142      36.45000      -4.97700
      -4.31042      35.38000     -11.86000
      -4.14042      56.62000     -14.04000
      -3.96942      51.51000     -19.30000
      -3.79942      42.65000     -21.35000
      -3.62842      54.81000     -20.31000
      -3.45742      78.97000     -21.34000
      -3.28742      74.53000     -28.58000
      -3.11642      66.64000     -32.68000
      -2.94642      67.83000     -31.06000
      -2.77542      67.77000     -36.40000
      -2.60442      68.24000     -32.65000
      -2.43442      69.69000     -41.94000
      -2.26342      63.37000     -50.77000
      -2.09342      49.80000     -49.10000
      -1.92242      46.83000     -50.32000
      -1.75242      51.52000     -51.30000
      -1.58142      60.46000     -57.67000
      -1.41042      77.14000     -66.30000
      -1.24042      92.99000     -66.16000
      -1.06942      86.91000     -63.39000
      -0.89942      68.64000     -52.42000
      -0.72842      56.23000     -41.29000
      -0.55842      48.36000     -37.07000
      -0.38742      41.84000     -31.65000
      -0.21642      41.30000     -26.13000
      -0.04642      31.17000     -34.09000
       0.12458      27.04000     -40.50000
       0.29458      29.92000     -51.85000
       0.46558      38.84000     -56.42000
       0.63558      36.55000     -61.75000
       0.80658      36.66000     -72.98000
       0.97758      35.10000     -69.38000
       1.14758       3.54400     -79.33000
       1.31858      -0.14640     -91.28000
       1.48858      -0.00006     -98.60000
       1.65958      -0.00000     -89.32000
       1.82958       0.00000     -64.39000
       2.00058       0.00000     -43.81000
       2.17158       0.00000     -31.07000
       2.34158       0.00000      -3.85000
       2.51258       0.00000       0.15360
       2.68258       0.00000       0.00015
       2.85358       0.00000       0.00000
       3.02458       0.00000       0.00000
       3.19458       0.00000       0.00000
       3.36558       0.00000       0.00000
       3.53558       0.00000       0.00000
       3.70658       0.00000       0.00000
       3.87658       0.00000       0.00000
       4.04758       0.00000       0.00000
       4.21858       0.00000       0.00000
       4.38858       0.00000       0.00000
       4.55958       0.00000       0.00000
