====== H (10) into SS316L+Pb-4Bi                =======
        SRIM-2008.04
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : SS316L
Layer Width =     3.E+05 A ;
  Layer # 1- Density = 8.455E22 atoms/cm3 = 7.811 g/cm3
  Layer # 1- Fe = 68.4 Atomic Percent = 68.7 Mass Percent
  Layer # 1- Ni = 9.76 Atomic Percent = 10.3 Mass Percent
  Layer # 1- Cr = 17.6 Atomic Percent = 16.4 Mass Percent
  Layer # 1- Si = 1.05 Atomic Percent = .533 Mass Percent
  Layer # 1- Mn = 1.83 Atomic Percent = 1.80 Mass Percent
  Layer # 1- Mo = 1.23 Atomic Percent = 2.13 Mass Percent
Layer  2 : Pb-4Bi
Layer Width =     3.E+05 A ;
  Layer # 2- Density = 3.277E22 atoms/cm3 = 11.28 g/cm3
  Layer # 2- Pb = 96   Atomic Percent = 95.9 Mass Percent
  Layer # 2- Bi = 4    Atomic Percent = 4.03 Mass Percent
====================================================================
 Total Ions calculated =60430.00
 Total Target Vacancies     = 27 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
550001.E-02  1275.71E-09  3804.57E-09  
110000.E-01  4862.12E-09  8109.98E-09  
165000.E-01  3845.17E-09  6549.64E-09  
220000.E-01  4777.88E-09  1287.26E-08  
275000.E-01  4901.24E-09  1738.71E-08  
330000.E-01  5027.61E-09  8378.10E-09  
385000.E-01  5163.00E-09  1600.71E-08  
440000.E-01  5202.11E-09  1464.89E-08  
495000.E-01  5310.43E-09  8786.66E-09  
550000.E-01  5295.38E-09  1910.84E-08  
605000.E-01  5487.94E-09  1617.37E-08  
660000.E-01  5457.86E-09  9676.35E-09  
715000.E-01  5689.53E-09  9692.97E-09  
770000.E-01  5800.85E-09  1173.94E-08  
825000.E-01  5882.09E-09  1096.93E-08  
880000.E-01  5794.83E-09  1583.23E-08  
935000.E-01  5927.22E-09  1073.39E-08  
990000.E-01  5981.38E-09  1046.05E-08  
104500.E+00  5858.02E-09  1587.99E-08  
110000.E+00  6179.95E-09  1260.28E-08  
115500.E+00  6243.14E-09  8689.87E-09  
121000.E+00  6231.10E-09  1441.44E-08  
126500.E+00  6360.48E-09  1226.87E-08  
132000.E+00  6459.77E-09  1303.22E-08  
137500.E+00  6288.27E-09  1673.64E-08  
143000.E+00  6553.04E-09  1400.42E-08  
148500.E+00  6676.39E-09  1284.01E-08  
154000.E+00  6977.27E-09  1195.81E-08  
159500.E+00  7166.82E-09  1536.01E-08  
165000.E+00  7178.85E-09  1504.49E-08  
170500.E+00  7208.94E-09  1543.75E-08  
176000.E+00  7428.58E-09  1174.64E-08  
181500.E+00  7500.79E-09  1725.73E-08  
187000.E+00  7741.49E-09  1340.53E-08  
192500.E+00  8012.28E-09  2117.26E-08  
198000.E+00  7952.10E-09  1972.08E-08  
203500.E+00  8144.66E-09  1449.33E-08  
209000.E+00  8403.41E-09  1752.83E-08  
214500.E+00  8523.76E-09  1406.25E-08  
220000.E+00  8833.66E-09  1888.38E-08  
225500.E+00  9327.10E-09  1992.66E-08  
231000.E+00  9351.17E-09  1388.75E-08  
236500.E+00  9874.69E-09  1980.60E-08  
242000.E+00  1007.93E-08  2087.32E-08  
247500.E+00  1092.77E-08  2107.96E-08  
253000.E+00  1195.07E-08  2191.99E-08  
258500.E+00  1354.23E-08  2596.35E-08  
264000.E+00  1838.34E-08  3819.44E-08  
269500.E+00  1894.60E-08  3484.55E-08  
275000.E+00  1912.66E-08  4247.55E-08  
280500.E+00  1946.05E-08  3852.09E-08  
286000.E+00  2125.07E-08  4520.55E-08  
291500.E+00  2166.29E-08  4354.79E-08  
297000.E+00  2248.73E-08  4742.17E-08  
302500.E+00  2313.72E-08  4342.11E-08  
308000.E+00  2440.39E-08  4708.78E-08  
313500.E+00  2509.29E-08  4578.48E-08  
319000.E+00  2630.84E-08  4617.15E-08  
324500.E+00  2756.91E-08  4846.53E-08  
330000.E+00  2969.33E-08  5615.03E-08  
335500.E+00  3106.22E-08  5445.31E-08  
341000.E+00  3323.76E-08  5812.92E-08  
346500.E+00  3606.88E-08  5950.05E-08  
352000.E+00  3918.58E-08  6233.62E-08  
357500.E+00  4319.35E-08  7120.39E-08  
