     #Energy     UP_Fe_s     DW_Fe_s     UP_Fe_p     DW_Fe_p     UP_Fe_d     DW_Fe_d     UP_Cr_s     DW_Cr_s     UP_Cr_p     DW_Cr_p     UP_Cr_d     DW_Cr_d     UP_Pb_s     DW_Pb_s     UP_Pb_p     DW_Pb_p     UP_Pb_d     DW_Pb_d
   -44.25849    -0.00000    -0.00121    -0.00000    -0.00216    -0.00000    -0.00159    -0.00000    -0.00007    -0.00000   -10.70142    -0.00000    -0.00003    -0.00000    -0.00003    -0.00000    -0.00006    -0.00000    -0.00005
   -44.08849    -0.00000    -0.01589    -0.00000    -0.02808    -0.00000    -0.01979    -0.00000    -0.00009    -0.00247   -65.42519    -0.00000    -0.00021    -0.00000    -0.00002    -0.00000    -0.00003    -0.00000    -0.00003
   -43.91749    -0.00015    -0.00713    -0.00026    -0.01329    -0.00017    -0.00977    -0.00001    -0.00006    -1.11729   -29.83142    -0.00001    -0.00014    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -43.74749     0.00409    -0.00175     0.00695    -0.00316     0.00464    -0.00229     0.00020    -0.00001    30.70865    -6.42870     0.00022    -0.00006     0.00003     0.00000     0.00006     0.00000     0.00005     0.00000
   -43.57649     0.00457    -0.00508     0.00857    -0.00929     0.00650    -0.00678     0.00018    -0.00035    41.83522   -21.79069     0.00027    -0.00133     0.00005    -0.00000     0.00010    -0.00000     0.00008    -0.00000
   -43.40649    -0.00018    -0.00107    -0.00032    -0.00198    -0.00024    -0.00143    -0.00001    -0.00042    -1.57647    -6.11737    -0.00003    -0.00109    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -43.23549     0.00026    -0.00002     0.00046    -0.00005     0.00034    -0.00004     0.00012    -0.00001     2.35314    -0.33921     0.00065    -0.00006     0.00001    -0.00000     0.00001    -0.00000     0.00001    -0.00000
   -43.06549     0.00290    -0.00102     0.00478    -0.00186     0.00312    -0.00134     0.00085    -0.00060    15.97145    -8.46125     0.00302    -0.00156     0.00001    -0.00000     0.00002    -0.00000     0.00002    -0.00000
   -42.89449     0.00762    -0.00187     0.01344    -0.00340     0.00944    -0.00250     0.00073    -0.00081    31.23858   -13.40534     0.00089    -0.00200     0.00009    -0.00004     0.00017    -0.00007     0.00015    -0.00007
   -42.72449     0.02069    -0.00072     0.03766    -0.00135     0.02800    -0.00103     0.00091    -0.00016    84.94518    -6.59483     0.00234    -0.00025     0.00001    -0.00006     0.00002    -0.00012     0.00002    -0.00011
   -42.55349     0.00468    -0.00017     0.00922    -0.00035     0.00730    -0.00032     0.00040    -0.00048    23.47002    -5.16822     0.00145    -0.00127     0.00000    -0.00002     0.00001    -0.00004     0.00001    -0.00004
   -42.38349    -0.00015    -0.00003    -0.00030    -0.00005    -0.00024    -0.00005    -0.00001    -0.00007    -0.78791    -0.77636    -0.00005    -0.00019    -0.00000    -0.00000    -0.00000    -0.00001    -0.00000    -0.00001
   -42.21249    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00024     0.02278    -0.00000     0.00001    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -42.04249    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -41.87249    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -41.70149    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00535    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -41.53149    -0.00000     0.00005    -0.00000     0.00009    -0.00000     0.00007    -0.00000     0.00000    -0.00479     0.27712    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
   -41.36049    -0.00004    -0.00219    -0.00008    -0.00383    -0.00006    -0.00273    -0.00000    -0.00004    -0.30431   -11.49916    -0.00000    -0.00013    -0.00000     0.00000    -0.00000     0.00000    -0.00000     0.00000
