      #Energy        TDOS-UP        TDOS-DOWN
     -46.64549       0.00000       0.00000
     -46.47449       0.00000       0.00000
     -46.30449       0.00000       0.00000
     -46.13349       0.00000       0.00000
     -45.96349       0.00000       0.00000
     -45.79249       0.00000       0.00000
     -45.62249       0.00000       0.00000
     -45.45149       0.00000       0.00000
     -45.28149       0.00000       0.00000
     -45.11149       0.00000       0.00000
     -44.94049       0.00000       0.00000
     -44.77049      -0.00000       0.00000
     -44.59949      -0.00000       0.00015
     -44.42949      -0.00000       0.03750
     -44.25849      -0.00000      -0.84331
     -44.08849      -0.00021      -7.38352
     -43.91749      -0.09632     -15.56965
     -43.74749       2.44331     -18.68607
     -43.57649       8.66814     -21.11208
     -43.40649      12.12219     -23.51225
     -43.23549      12.18952     -24.06811
     -43.06549      13.76700     -24.82469
     -42.89449      17.82682     -26.70280
     -42.72449      27.80889     -28.41955
     -42.55349      37.12099     -29.42833
     -42.38349      39.06836     -29.93756
     -42.21249      39.00071     -30.00213
     -42.04249      39.00069     -30.00018
     -41.87249      39.00069     -30.00018
     -41.70149      39.00069     -29.99972
     -41.53149      39.00028     -29.97547
     -41.36049      38.97375     -30.93872
     -41.19049      39.95513     -31.95364
     -41.01949      41.50124     -32.96175
     -40.84949      42.02065     -36.26722
     -40.67849      42.00134     -39.76704
     -40.50849      42.00123     -41.49146
     -40.33749      42.00123     -42.02080
     -40.16749      42.00123     -42.00017
     -39.99649      42.00123     -42.00007
     -39.82649      42.00123     -42.00007
     -39.65549      42.00123     -42.00007
     -39.48549      42.00123     -42.00007
     -39.31449      42.00123     -42.00007
     -39.14449      42.00123     -42.00007
     -38.97349      42.00123     -42.00007
     -38.80349      42.00123     -42.00007
     -38.63349      42.00123     -42.00007
     -38.46249      42.00123     -42.00007
     -38.29249      42.00123     -42.00007
     -38.12149      42.00123     -42.00007
     -37.95149      42.00123     -42.00007
     -37.78049      42.00123     -42.00007
     -37.61049      42.00123     -42.00007
     -37.43949      42.00123     -42.00007
     -37.26949      42.00123     -42.00007
     -37.09849      42.00123     -42.00007
     -36.92849      42.00123     -42.00007
     -36.75749      42.00123     -42.00007
     -36.58749      42.00123     -42.00007
     -36.41649      42.00123     -42.00007
     -36.24649      42.00123     -42.00007
     -36.07549      42.00123     -42.00007
     -35.90549      42.00123     -42.00007
     -35.73449      42.00123     -42.00007
     -35.56449      42.00123     -42.00007
     -35.39449      42.00123     -42.00007
     -35.22349      42.00123     -42.00007
     -35.05349      42.00123     -42.00007
     -34.88249      42.00123     -42.00007
     -34.71249      42.00123     -42.00007
     -34.54149      42.00123     -42.00007
     -34.37149      42.00123     -42.00007
     -34.20049      42.00123     -42.00007
     -34.03049      42.00123     -42.00007
     -33.85949      42.00123     -42.00007
     -33.68949      42.00123     -42.00007
     -33.51849      42.00123     -42.00007
     -33.34849      42.00123     -42.00007
     -33.17749      42.00123     -42.00007
     -33.00749      42.00123     -42.00007
     -32.83649      42.00123     -42.00007
     -32.66649      42.00123     -42.00007
     -32.49549      42.00123     -42.00007
     -32.32549      42.00123     -42.00007
     -32.15549      42.00123     -42.00007
     -31.98449      42.00123     -42.00007
     -31.81449      42.00123     -42.00007
     -31.64349      42.00123     -42.00007
     -31.47349      42.00123     -42.00007
     -31.30249      42.00123     -42.00007
     -31.13249      42.00123     -42.00007
     -30.96149      42.00123     -42.00007
     -30.79149      42.00123     -42.00007
     -30.62049      42.00123     -42.00007
     -30.45049      42.00123     -42.00007
     -30.27949      42.00123     -42.00007
     -30.10949      42.00123     -42.00007
     -29.93849      42.00123     -42.00007
     -29.76849      42.00123     -42.00007
     -29.59749      42.00123     -42.00007
     -29.42749      42.00123     -42.00007
     -29.25649      42.00123     -42.00007
     -29.08649      42.00123     -42.00007
     -28.91649      42.00123     -42.00007
     -28.74549      42.00123     -42.00007
     -28.57549      42.00123     -42.00007
     -28.40449      42.00123     -42.00007
     -28.23449      42.00123     -42.00007
     -28.06349      42.00123     -42.00007
     -27.89349      42.00123     -42.00007
     -27.72249      42.00123     -42.00007
     -27.55249      42.00123     -42.00007
     -27.38149      42.00123     -42.00007
     -27.21149      42.00123     -42.00007
     -27.04049      42.00123     -42.00007
     -26.87049      42.00123     -42.00007
     -26.69949      42.00123     -42.00007
     -26.52949      42.00123     -42.00007
     -26.35849      42.00123     -42.00007
     -26.18849      42.00123     -42.00007
     -26.01749      42.00123     -42.00007
     -25.84749      42.00123     -42.00007
     -25.67749      42.00123     -42.00007
     -25.50649      42.00123     -42.00007
     -25.33649      42.00123     -42.00007
     -25.16549      42.00123     -42.00007
     -24.99549      42.00123     -42.00007
     -24.82449      42.00123     -42.00007
     -24.65449      42.00123     -42.00007
     -24.48349      42.00123     -42.00007
     -24.31349      42.00123     -42.00007
     -24.14249      42.00123     -42.00007
     -23.97249      42.00123     -42.00007
     -23.80149      42.00123     -42.00007
     -23.63149      42.00123     -42.00007
     -23.46049      42.00123     -42.00007
     -23.29049      42.00123     -42.00007
     -23.11949      42.00123     -42.00007
     -22.94949      42.00123     -42.00007
     -22.77849      42.00123     -42.00007
     -22.60849      42.00123     -42.00007
     -22.43849      42.00123     -42.00007
     -22.26749      42.00123     -42.00007
     -22.09749      42.00123     -42.00007
     -21.92649      42.00123     -42.00007
     -21.75649      42.00123     -42.00007
     -21.58549      42.00123     -42.00007
