Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,x_left_edge,x_right_edge,Corrosion_Depth_Ratio
0,0,0,0,0,NaN
1,0,0,0,0,NaN
2,0,0,0,0,NaN
3,0,897,1899,2795,0.000
4,0,897,1899,2795,0.000
5,0,897,1899,2795,0.000
6,0,897,1899,2795,0.000
7,0,897,1899,2795,0.000
8,0,897,1899,2795,0.000
9,0,897,1899,2795,0.000
10,0,897,1899,2795,0.000
11,0,897,1899,2795,0.000
12,0,897,1899,2795,0.000
13,0,898,1898,2795,0.000
14,0,898,1898,2795,0.000
15,0,898,1898,2795,0.000
16,0,898,1898,2795,0.000
17,0,898,1898,2795,0.000
18,0,898,1898,2795,0.000
19,0,898,1898,2795,0.000
20,0,898,1898,2795,0.000
21,0,898,1898,2795,0.000
22,0,898,1898,2795,0.000
23,0,898,1898,2795,0.000
24,0,898,1898,2795,0.000
25,0,898,1898,2795,0.000
26,0,898,1898,2795,0.000
27,0,898,1898,2795,0.000
28,0,898,1898,2795,0.000
29,0,898,1898,2795,0.000
30,0,898,1898,2795,0.000
31,0,898,1898,2795,0.000
32,0,899,1897,2795,0.000
33,0,899,1897,2795,0.000
34,0,899,1897,2795,0.000
35,0,899,1897,2795,0.000
36,0,899,1897,2795,0.000
37,0,899,1897,2795,0.000
38,0,899,1897,2795,0.000
39,0,899,1897,2795,0.000
40,0,899,1897,2795,0.000
41,0,899,1897,2795,0.000
42,0,899,1897,2795,0.000
43,0,899,1897,2795,0.000
44,0,899,1897,2795,0.000
45,0,899,1897,2795,0.000
46,0,899,1897,2795,0.000
47,0,899,1897,2795,0.000
48,0,899,1897,2795,0.000
49,0,899,1897,2795,0.000
50,0,899,1897,2795,0.000
51,0,900,1896,2795,0.000
52,0,900,1896,2795,0.000
53,0,900,1896,2795,0.000
54,0,900,1896,2795,0.000
55,0,900,1896,2795,0.000
56,0,900,1896,2795,0.000
57,0,900,1896,2795,0.000
58,0,900,1896,2795,0.000
59,0,900,1896,2795,0.000
60,0,900,1896,2795,0.000
61,0,900,1896,2795,0.000
62,0,900,1896,2795,0.000
63,899,900,1896,2795,0.001
64,898,900,1896,2795,0.002
65,896,899,1897,2795,0.003
66,895,899,1897,2795,0.004
67,894,899,1897,2795,0.006
68,894,899,1897,2795,0.006
69,894,900,1896,2795,0.007
70,895,901,1895,2795,0.007
71,895,901,1895,2795,0.007
72,895,901,1895,2795,0.007
73,895,901,1895,2795,0.007
74,895,901,1895,2795,0.007
75,895,901,1895,2795,0.007
76,895,901,1895,2795,0.007
77,895,901,1895,2795,0.007
78,895,901,1895,2795,0.007
79,895,901,1895,2795,0.007
80,895,901,1895,2795,0.007
81,896,901,1895,2795,0.006
82,896,901,1895,2795,0.006
83,897,901,1895,2795,0.004
84,897,901,1895,2795,0.004
85,898,901,1895,2795,0.003
86,899,900,1895,2794,0.001
87,899,900,1895,2794,0.001
88,0,900,1895,2794,0.000
89,0,901,1894,2794,0.000
90,0,901,1894,2794,0.000
91,0,901,1894,2794,0.000
92,0,901,1894,2794,0.000
93,0,901,1894,2794,0.000
94,0,901,1894,2794,0.000
95,0,901,1894,2794,0.000
96,0,901,1894,2794,0.000
97,0,901,1894,2794,0.000
98,0,901,1894,2794,0.000
99,0,901,1894,2794,0.000
100,0,901,1894,2794,0.000
101,0,901,1894,2794,0.000
102,0,901,1894,2794,0.000
103,0,901,1894,2794,0.000
104,0,901,1894,2794,0.000
105,0,901,1894,2794,0.000
106,0,901,1894,2794,0.000
107,0,901,1894,2794,0.000
108,0,902,1893,2794,0.000
109,0,902,1893,2794,0.000
110,0,902,1893,2794,0.000
111,0,902,1893,2794,0.000
112,0,902,1893,2794,0.000
113,0,902,1893,2794,0.000
114,0,902,1893,2794,0.000
115,0,902,1893,2794,0.000
116,0,902,1893,2794,0.000
117,0,902,1893,2794,0.000
118,0,902,1893,2794,0.000
119,0,902,1893,2794,0.000
120,0,902,1893,2794,0.000
121,0,902,1893,2794,0.000
122,0,902,1893,2794,0.000
123,0,902,1893,2794,0.000
124,0,901,1894,2794,0.000
125,0,901,1894,2794,0.000
126,0,901,1894,2794,0.000
127,900,901,1894,2794,0.001
128,900,901,1894,2794,0.001
129,900,901,1894,2794,0.001
130,900,901,1894,2794,0.001
131,900,901,1894,2794,0.001
132,0,900,1894,2793,0.000
133,32,900,1894,2793,0.964
134,32,900,1894,2793,0.964
135,0,900,1894,2793,0.000
136,0,900,1894,2793,0.000
137,0,899,1895,2793,0.000
138,0,899,1895,2793,0.000
139,0,899,1895,2793,0.000
140,0,899,1895,2793,0.000
141,0,899,1895,2793,0.000
142,0,899,1895,2793,0.000
143,0,899,1895,2793,0.000
144,0,899,1895,2793,0.000
145,0,899,1895,2793,0.000
146,0,899,1895,2793,0.000
147,0,899,1895,2793,0.000
148,0,899,1895,2793,0.000
149,0,899,1895,2793,0.000
150,0,898,1896,2793,0.000
151,0,898,1896,2793,0.000
152,0,898,1896,2793,0.000
153,0,898,1896,2793,0.000
154,0,898,1896,2793,0.000
155,0,898,1896,2793,0.000
156,0,898,1896,2793,0.000
157,0,898,1896,2793,0.000
158,0,898,1896,2793,0.000
159,0,898,1896,2793,0.000
160,0,898,1896,2793,0.000
161,0,898,1896,2793,0.000
162,0,898,1896,2793,0.000
163,0,898,1896,2793,0.000
164,0,897,1897,2793,0.000
165,0,897,1897,2793,0.000
166,0,897,1897,2793,0.000
167,0,897,1897,2793,0.000
168,0,897,1897,2793,0.000
169,0,897,1897,2793,0.000
170,0,897,1897,2793,0.000
171,0,897,1897,2793,0.000
172,0,897,1897,2793,0.000
173,0,897,1897,2793,0.000
174,0,897,1897,2793,0.000
175,0,897,1897,2793,0.000
176,0,897,1897,2793,0.000
177,0,896,1898,2793,0.000
178,0,895,1898,2792,0.000
179,0,895,1898,2792,0.000
180,0,895,1898,2792,0.000
181,0,895,1898,2792,0.000
182,0,895,1898,2792,0.000
183,0,895,1898,2792,0.000
184,0,895,1898,2792,0.000
185,0,895,1898,2792,0.000
186,0,895,1898,2792,0.000
187,0,895,1898,2792,0.000
188,0,895,1898,2792,0.000
189,0,895,1898,2792,0.000
190,0,894,1899,2792,0.000
191,13,894,1899,2792,0.985
192,12,894,1899,2792,0.987
193,12,894,1899,2792,0.987
194,12,894,1899,2792,0.987
195,13,894,1899,2792,0.985
196,0,894,1899,2792,0.000
